ID,TP_6mo_gm,%tolerant,Total,Date,tolerant
s112,13.1819268498,25.3269916766,841,02/98,213
s114,16.0489189214,13.6801541426,519,02/98,71
s116,11.9594463206,9.8360655738,610,02/98,60
s122,21.596211993,8.6221470837,1183,02/98,102
s124,25.0906551076,17.776420281,1637,02/98,291
s126,14.6046108204,19.3907875186,1346,02/98,261
s132,23.0520673688,24.0631163708,507,02/98,122
s134,17.2420828194,6.6914498141,269,02/98,18
s136,17.3016516616,8.7804878049,205,02/98,18
s142,9.0084149374,2,100,02/98,2
s144,8.9931523847,2.1052631579,95,02/98,2
s146,10.6115479183,1.1764705882,85,02/98,1
s152,41.1783996438,5.7571964956,799,02/98,46
s154,21.4565197715,7.2815533981,206,02/98,15
s156,19.6041294994,10.2040816327,245,02/98,25
s162,10.6803648326,2.1505376344,93,02/98,2
s164,9.0717258485,0,83,02/98,0
s166,8.7002510731,0,56,02/98,0
s212,12.362686726,60.6425702811,498,02/98,302
s214,10.1934029823,18.9801699717,353,02/98,67
s216,7.7832151718,5.1612903226,465,02/98,24
s222,18.1877665568,55.838641189,471,02/98,263
s224,12.8287501496,31.2865497076,342,02/98,107
s226,12.076364968,13.3470225873,487,02/98,65
s232,11.986666622,5.8823529412,289,02/98,17
s234,11.5888417878,21.5277777778,288,02/98,62
s236,10.4370718114,3.8834951456,206,02/98,8
s242,18.7079278127,14.4927536232,276,02/98,40
s244,17.457505417,6.6889632107,299,02/98,20
s246,18.2524429829,6.8870523416,363,02/98,25
s252,10.1243079842,2.1897810219,137,02/98,3
s254,8.6005567793,1.9108280255,157,02/98,3
s256,7.1477892318,2.5751072961,233,02/98,6
s262,7.0716274542,0,119,02/98,0
s264,8.1370145964,3.2,125,02/98,4
s266,7.0716852225,1.9607843137,102,02/98,2
s112,17.2187688312,11.797752809,178,01/97,21
s114,16.4282103439,10.3004291845,466,01/97,48
s116,14.7464149647,11.0328638498,426,01/97,47
s122,20.717940174,18.9507494647,934,01/97,177
s124,18.1378334028,28.2051282051,936,01/97,264
s126,16.5105570909,23.1991525424,944,01/97,219
s132,22.6011321465,18.5758513932,323,01/97,60
s134,18.0654269786,19.1860465116,172,01/97,33
s136,15.0443123075,5.8333333333,240,01/97,14
s142,9.459315281,5.2631578947,114,01/97,6
s144,9.7376517972,6.0975609756,82,01/97,5
s146,7.8538197044,3.75,80,01/97,3
s152,36.6348509833,16.4983164983,297,01/97,49
s154,34.0217491163,24.1830065359,153,01/97,37
s156,28.2191267054,28.3464566929,127,01/97,36
s162,11.122832749,10,120,01/97,12
s164,11.2683735402,3.2967032967,182,01/97,6
s166,9.2905708618,7.2727272727,110,01/97,8
s212,16.1998178768,32.7695560254,473,01/97,155
s214,15.2107132703,11.1111111111,639,01/97,71
s216,13.8183856648,19.5227765727,461,01/97,90
s222,37.7128166172,40.0414937759,482,01/97,193
s224,18.7276304967,28.5714285714,287,01/97,82
s226,13.5041898966,20.2643171806,454,01/97,92
s232,27.2758037592,30.7901907357,367,01/97,113
s234,17.6723275338,21.8666666667,375,01/97,82
s236,12.7177670994,10.6382978723,188,01/97,20
s242,22.5785423111,5.0228310502,219,01/97,11
s244,15.7367698068,35.1694915254,236,01/97,83
s246,12.7559776879,8.1218274112,197,01/97,16
s252,11.810630314,9.4736842105,95,01/97,9
s254,9.7279190126,1.2345679012,81,01/97,1
s256,8.7407849776,13.0952380952,84,01/97,11
s262,8.7495301344,2.5252525253,198,01/97,5
s264,8.2235336408,0.6369426752,157,01/97,1
s266,7.6752433515,5.0314465409,159,01/97,8
s112,17.8142731796,13.0434782609,46,09/96,6
s114,13.8737699021,7.8651685393,89,09/96,7
s116,12.2803447939,31.3725490196,51,09/96,16
s122,24.070812333,11.2244897959,98,09/96,11
s124,23.3827834134,13.3828996283,269,09/96,36
s126,25.6873846054,23.5294117647,34,09/96,8
s132,29.0494630652,18.6046511628,43,09/96,8
s134,18.375164547,42.8571428571,42,09/96,18
s136,12.884177395,11.3445378151,238,09/96,27
s142,8.6624708549,7.5,120,09/96,9
s144,8.9800010568,3.0864197531,162,09/96,5
s146,7.374292755,1.6129032258,62,09/96,1
s152,37.3002489168,15.7894736842,95,09/96,15
s154,24.1672884058,28.7356321839,87,09/96,25
s156,18.0473705813,13.8888888889,36,09/96,5
s162,10.2266800858,0,69,09/96,0
s164,9.5830891668,3.5714285714,56,09/96,2
s166,7.5609738649,6.1728395062,81,09/96,5
s212,22.4210444007,37.6865671642,268,09/96,101
s214,18.9537158618,10.3448275862,87,09/96,9
s216,14.5996856842,26.3157894737,76,09/96,20
s222,43.7284972258,29.3269230769,208,09/96,61
s224,28.3322292665,22.8070175439,114,09/96,26
s226,20.328015327,35.5072463768,138,09/96,49
s232,24.5325301971,51.8987341772,79,09/96,41
s234,18.0654269786,25,216,09/96,54
s236,15.3328870199,20,85,09/96,17
s242,34.3636733794,18.8340807175,223,09/96,42
s244,21.1364703282,22.0930232558,86,09/96,19
s246,16.9116037712,12.426035503,169,09/96,21
s252,10.5486722614,7.1428571429,28,09/96,2
s254,12.9487596029,4.6511627907,43,09/96,2
s256,10.0542959411,0.8474576271,118,09/96,1
s262,8.4824557412,1.1494252874,87,09/96,1
s264,8.8995436487,5.3333333333,75,09/96,4
s266,7.5307903766,3.6585365854,82,09/96,3
s112,10.3812365627,8.8888888889,90,09/98,8
s114,10.2574061922,4.5454545455,22,09/98,1
s116,11.5536337745,6.6666666667,15,09/98,1
s122,28.6169729045,5.5555555556,118,09/98,7
s124,21.2424173266,8,110,09/98,9
s126,16.0546736446,10,47,09/98,5
s132,14.3967142002,12.2807017544,114,09/98,14
s134,11.7282445883,10,40,09/98,4
s136,11.3816225771,14.2857142857,7,09/98,1
s142,10.277941533,25,16,09/98,4
s144,6.7937291304,0,19,09/98,0
s146,7.8931871395,9.0909090909,11,09/98,1
s152,17.7431584113,24.3243243243,111,09/98,27
s154,14.9692784869,20.4545454545,88,09/98,18
s156,12.3666087791,6.6666666667,49,09/98,3
s162,8.0044689143,1.3698630137,73,09/98,1
s164,7.1206570253,2.3255813953,86,09/98,2
s166,6.5929440907,1.4705882353,68,09/98,1
s212,25.5592682402,25.9459459459,185,09/98,48
s214,23.8074843564,21.1009174312,109,09/98,23
s216,15.0142537515,43.5294117647,87,09/98,38
s222,30.2349941427,32.0512820513,82,09/98,26
s224,27.1397651204,28,51,09/98,14
s226,21.5203715397,33.3333333333,67,09/98,22
s232,13.9572627496,13.3333333333,120,09/98,16
s234,12.4534787307,22.5806451613,93,09/98,21
s236,12.3789815733,9.4339622642,53,09/98,5
s242,29.9341509244,11.9402985075,67,09/98,8
s244,19.9454291142,17.7215189873,79,09/98,14
s246,12.5535061367,26.0869565217,46,09/98,12
s252,10.5486722614,16.9491525424,59,09/98,10
s254,13.9433124632,8.8235294118,68,09/98,6
s256,8.3144918639,22.7272727273,44,09/98,10
s262,6.6925836808,6.25,64,09/98,4
s264,8.9262823677,2.9850746269,67,09/98,2
s266,7.9725149891,6.0606060606,66,09/98,4
